70,2999999,Condo/Co-op,2,2.0,San Francisco,94133,1360 Montgomery St #11
71,498000,Condo/Co-op,1,1.0,San Francisco,94115,1465 Laguna St #2
72,1000000,Condo/Co-op,3,2.0,San Francisco,94109,66 Cleary Ct #305
73,1188000,Single Family Residential,2,1.0,San Francisco,94122,1254 36th Ave
74,3998000,Condo/Co-op,2,2.0,San Francisco,94105,425 1st St #6004
75,5500000,Vacant Land,0,,San Francisco,94103,1088 Howard St
76,1350000,Multi-Family (2-4 Unit),6,3.0,San Francisco,94110,2937 - 2939 Harrison St
77,1695000,Single Family Residential,3,2.0,San Francisco,94131,248 Valley St
78,800000,Condo/Co-op,1,1.5,San Francisco,94107,415 Bryant St #3
79,1900000,Multi-Family (2-4 Unit),4,2.0,San Francisco,94117,216 - 218 Downey St
80,1095000,Multi-Family (2-4 Unit),4,1.0,San Francisco,94110,2665 - 2667 Bryant St
81,1195000,Condo/Co-op,2,1.0,San Francisco,94121,6516 California St
82,1095000,Single Family Residential,3,2.0,San Francisco,94122,1706 9th Ave
83,798000,Condo/Co-op,1,1.0,San Francisco,94102,55 Oak St #508
84,749900,Condo/Co-op,1,1.0,San Francisco,94107,701 Minnesota #116
85,1630000,Single Family Residential,2,1.0,San Francisco,94127,44 Juanita Way
86,1398000,Single Family Residential,3,1.5,San Francisco,94116,2055 42nd Ave
87,1698000,Single Family Residential,4,3.0,San Francisco,94112,916 Vienna St
88,2500000,Vacant Land,0,,San Francisco,94109,1343 Sacramento St
89,2495000,Single Family Residential,3,3.5,San Francisco,94110,215 Montcalm St
90,1000000,Multi-Family (2-4 Unit),2,1.0,San Francisco,94134,153 Silliman St
91,3100000,Single Family Residential,4,2.0,San Francisco,94110,473 Andover St
92,1249000,Multi-Family (2-4 Unit),4,3.0,San Francisco,94116,2488 39th Ave
93,998000,Single Family Residential,2,1.0,SAN FRANCISCO,94134,281 Peninsula Ave
94,1399000,Condo/Co-op,2,2.0,San Francisco,94107,88 King St #318
95,2495000,Multi-Family (2-4 Unit),4,4.0,San Francisco,94115,2436 Bush St
96,1599000,Condo/Co-op,2,2.0,San Francisco,94111,170 Pacific Ave #53
97,995000,Single Family Residential,2,1.5,San Francisco,94127,130 Pinehurst Way
98,1450000,Single Family Residential,2,1.0,San Francisco,94112,32 Navajo Ave
99,699000,Condo/Co-op,1,1.0,SAN FRANCISCO,94105,403 Main St Unit 208N
100,550000,Condo/Co-op,1,1.0,San Francisco,94131,80 Ora Way Unit G104
101,1199000,Condo/Co-op,2,2.5,San Francisco,94109,1452 Bush St #1
102,995000,Single Family Residential,3,2.0,SAN FRANCISCO,94110,212 Putnam St
103,769000,Condo/Co-op,1,1.0,San Francisco,94115,2211 California St #306
104,500000,Condo/Co-op,2,1.5,San Francisco,94124,1780 Bancroft Ave #554
105,918000,Condo/Co-op,2,1.0,San Francisco,94110,3380 20th St #301
106,381135,Condo/Co-op,1,1.0,San Francisco,94103,198 Valencia St #201
107,4880000,Single Family Residential,15,6.5,San Francisco,94110,822 South Van Ness Ave
108,995000,Condo/Co-op,2,1.0,San Francisco,94117,649 Central Ave
109,413821,Condo/Co-op,1,1.0,San Francisco,94107,901 - 53 Tennessee St #310
110,6950000,Multi-Family (5+ Unit),3,4.0,San Francisco,94109,1221 Greenwich St
111,2295000,Single Family Residential,4,4.0,San Francisco,94110,12 Roscoe St
112,1350000,Condo/Co-op,1,1.0,San Francisco,94123,1515 Union Unit 5F
113,1650000,Condo/Co-op,2,2.0,San Francisco,94105,338 Spear St Unit 11B
114,1899000,Single Family Residential,3,2.0,San Francisco,94110,120 Elsie
