SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4353 17th St,San Francisco,CA,94114,849000,1,1.0,San Francisco,,1123,1909,25,,,Active,,,https://www.redfin.com/CA/San-Francisco/4353-17th-St-94114/home/1299551,San Francisco MLS,421594283,N,Y,37.7619358,-122.4417445
MLS Listing,,Multi-Family (2-4 Unit),1824 Church St,San Francisco,CA,94131,2895000,7,5.0,San Francisco,3843,3123,1976,25,753,,Active,,,https://www.redfin.com/CA/San-Francisco/1824-Church-St-94131/unit-1828A/home/813754,San Francisco MLS,421607536,N,Y,37.7414836,-122.4270088
MLS Listing,,Single Family Residential,3966 18Th St #1,San Francisco,CA,94114,1350000,2,1.0,Noe Valley,1525,2848,1931,26,885,,Active,,,https://www.redfin.com/CA/San-Francisco/3966-18th-St-94114/unit-1/home/177152387,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973729,N,Y,37.7611708,-122.4321102
MLS Listing,,Condo/Co-op,765 Market St Unit 30H,San Francisco,CA,94103,2495000,2,2.5,San Francisco,1402,60150,2001,26,1780,2579,Active,,,https://www.redfin.com/CA/San-Francisco/765-Market-St-94103/unit-30H/home/1482242,San Francisco MLS,421606112,N,Y,37.786097,-122.4041629
MLS Listing,,Condo/Co-op,140 S Van Ness Ave #428,San Francisco,CA,94103,725000,1,1.0,San Francisco,795,43147,2002,27,912,540,Active,,,https://www.redfin.com/CA/San-Francisco/140-S-Van-Ness-Ave-94103/unit-428/home/878077,BAREIS,421610464,N,Y,37.7716424,-122.4187147
MLS Listing,,Condo/Co-op,50 Jerrold Ave #206,San Francisco,CA,94124,549000,1,1.0,San Francisco,611,,2016,27,899,470,Active,,,https://www.redfin.com/CA/San-Francisco/50-Jerrold-Ave-94124/unit-206/home/144063947,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973662,N,Y,37.7277731,-122.3695061
MLS Listing,,Multi-Family (2-4 Unit),934 Lake St,SAN FRANCISCO,CA,94118,3250000,5,3.5,SAN FRANCISCO,3216,2696,1907,27,1011,,Active,,,https://www.redfin.com/CA/San-Francisco/934-Lake-St-94118/home/606805,MLSListings,ML81869567,N,Y,37.7866607,-122.4696318
MLS Listing,,Condo/Co-op,1688 Pine St Unit E1211,San Francisco,CA,94109,1795000,2,2.0,San Francisco,1139,35482,2016,27,1576,869,Active,,,https://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-E1211/home/144063600,San Francisco MLS,421607661,N,Y,37.7895497,-122.4233697
MLS Listing,,Condo/Co-op,85 Ora Way Unit E207,San Francisco,CA,94131,430551,1,1.0,San Francisco,676,,1975,27,637,652,Active,,,https://www.redfin.com/CA/San-Francisco/85-Ora-Way-94131/unit-E207/home/1592996,San Francisco MLS,421610498,N,Y,37.7406778,-122.4372133
MLS Listing,,Condo/Co-op,875 California St Ph 2,San Francisco,CA,94108,6995000,3,2.5,San Francisco,1825,,2020,27,3833,2325,Active,,,https://www.redfin.com/CA/San-Francisco/875-California-St-94108/unit-2/home/177145451,San Francisco MLS,421610489,N,Y,37.7918051,-122.4087206
MLS Listing,,Condo/Co-op,10 Innes Ct #201,San Francisco,CA,94124,598888,1,1.0,San Francisco,744,13880,2018,27,805,531,Active,,,https://www.redfin.com/CA/San-Francisco/10-Innes-Ct-94124/unit-201/home/169576559,San Francisco MLS,421610471,N,Y,37.7280682,-122.3679965
MLS Listing,,Multi-Family (5+ Unit),2501 Van Ness Ave,San Francisco,CA,94109,3950000,0,,San Francisco,9741,3693,1906,27,406,,Active,,,https://www.redfin.com/CA/San-Francisco/2501-Van-Ness-Ave-94109/home/174700380,San Francisco MLS,421610469,N,Y,37.7986633,-122.4242964
MLS Listing,,Condo/Co-op,1333 Jones St #1510,San Francisco,CA,94109,2698000,2,2.0,San Francisco,,,1961,27,,2315,Active,,,https://www.redfin.com/CA/San-Francisco/1333-Jones-St-94109/unit-1510/home/12399936,San Francisco MLS,421610447,N,Y,37.793648,-122.4149043
MLS Listing,,Condo/Co-op,388 Fulton #504,SAN FRANCISCO,CA,94102,599000,0,1.0,SAN FRANCISCO,375,,2015,27,1597,462,Active,,,https://www.redfin.com/CA/San-Francisco/388-Fulton-St-94102/unit-504/home/144063612,MLSListings,ML81869518,N,Y,37.7790326,-122.4231449
MLS Listing,,Condo/Co-op,1168 Fell St,San Francisco,CA,94117,1295000,3,2.5,San Francisco,1263,3438,2001,27,1025,,Active,,,https://www.redfin.com/CA/San-Francisco/1168-Fell-St-94117/home/177142397,San Francisco MLS,421609302,N,Y,37.774338,-122.4370976
MLS Listing,,Condo/Co-op,338 Main St Unit 3G,San Francisco,CA,94105,2029000,2,2.0,San Francisco,1401,75406,2016,29,1448,1254,Active,,,https://www.redfin.com/CA/San-Francisco/338-Main-St-94105/unit-3G/home/109278645,San Francisco MLS,421609771,N,Y,37.7886733,-122.3914178
MLS Listing,,Condo/Co-op,554 Wisconsin St,San Francisco,CA,94107,1327000,2,2.0,San Francisco,1150,79531,1978,29,1154,950,Active,December-12-2021 02:00 PM,December-12-2021 04:00 PM,https://www.redfin.com/CA/San-Francisco/554-Wisconsin-St-94107/home/1896008,San Francisco MLS,421601586,N,Y,37.760495,-122.399607
MLS Listing,,Multi-Family (2-4 Unit),4320 - 4322 18th St,San Francisco,CA,94114,1598000,2,1.5,San Francisco,1970,1900,1897,29,811,,Active,,,https://www.redfin.com/CA/San-Francisco/4320-18th-St-94114/home/671989,San Francisco MLS,421609763,N,Y,37.7609213,-122.4376201
MLS Listing,,Single Family Residential,40 Acton St,DALY CITY,CA,94014,950000,2,1.0,DALY CITY,1040,3100,1927,30,913,,Active,,,https://www.redfin.com/CA/Daly-City/40-Acton-St-94014/home/1739153,MLSListings,ML81869424,N,Y,37.7082156,-122.4526506
MLS Listing,,Condo/Co-op,301 Main St Unit 35F,SAN FRANCISCO,CA,94105,2150000,2,2.0,SAN FRANCISCO,1323,,2008,30,1625,991,Active,,,https://www.redfin.com/CA/San-Francisco/301-Main-St-94105/unit-35F/home/21966905,MLSListings,ML81869380,N,Y,37.7895974,-122.3911965
MLS Listing,,Single Family Residential,920 Cayuga Ave,San Francisco,CA,94112,1899000,7,5.0,San Francisco,2837,4375,1915,30,669,,Active,,,https://www.redfin.com/CA/San-Francisco/920-Cayuga-Ave-94112/home/1776167,San Francisco MLS,421609534,N,Y,37.7231661,-122.4393587
MLS Listing,,Condo/Co-op,333 Beale St Unit 8F,San Francisco,CA,94105,1180000,0,1.0,San Francisco,920,75406,2015,30,1283,1200,Active,,,https://www.redfin.com/CA/San-Francisco/333-Beale-St-94105/unit-8F/home/109684910,San Francisco MLS,421609775,N,Y,37.7884937,-122.3918797
MLS Listing,,Multi-Family (5+ Unit),565 Ellis St,San Francisco,CA,94109,3800000,0,,San Francisco,7052,2345,1922,30,539,,Active,,,https://www.redfin.com/CA/San-Francisco/565-Ellis-St-94109/home/1407842,San Francisco MLS,421609772,N,Y,37.7843938,-122.4157529
MLS Listing,,Condo/Co-op,201 Folsom St Unit 15F,San Francisco,CA,94105,1720000,2,2.0,San Francisco,1191,75406,2016,30,1444,1214,Active,,,https://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-15F/home/137677601,San Francisco MLS,421609758,N,Y,37.7891848,-122.3919008
MLS Listing,,Condo/Co-op,594 Lombard St,San Francisco,CA,94133,1995000,3,3.5,San Francisco,2625,2395,1926,30,760,,Active,,,https://www.redfin.com/CA/San-Francisco/594-Lombard-St-94133/home/146440886,San Francisco MLS,421591910,N,Y,37.8031727,-122.4111661
MLS Listing,,Multi-Family (2-4 Unit),653 Kansas St,San Francisco,CA,94107,1595000,6,,San Francisco,2720,2996,1921,30,586,,Active,,,https://www.redfin.com/CA/San-Francisco/653-Kansas-St-94107/home/728579,San Francisco MLS,421609527,N,Y,37.7614572,-122.4030234
MLS Listing,,Single Family Residential,611 Cayuga Ave,San Francisco,CA,94122,1395000,3,2.0,San Francisco,2234,1990,1937,30,624,,Active,,,https://www.redfin.com/CA/San-Francisco/611-Cayuga-Ave-94112/home/2001651,San Francisco MLS,421607606,N,Y,37.7283202,-122.4357715
MLS Listing,,Single Family Residential,2665 Laguna St,SAN FRANCISCO,CA,94123,3995000,8,7.0,SAN FRANCISCO,4200,3009,1900,30,951,,Active,,,https://www.redfin.com/CA/San-Francisco/2665-Laguna-St-94123/home/564898,MLSListings,ML81869257,N,Y,37.795682,-122.430457
MLS Listing,,Condo/Co-op,2568 Sutter St,San Francisco,CA,94115,1895000,4,2.5,San Francisco,1816,3438,,30,1044,200,Active,,,https://www.redfin.com/CA/San-Francisco/2568-Sutter-St-94115/home/28938820,San Francisco MLS,421608524,N,Y,37.785107,-122.4426707
MLS Listing,,Condo/Co-op,230 7th St Unit G8,San Francisco,CA,94103,1088000,2,2.0,San Francisco,1048,,,31,1038,442,Active,,,https://www.redfin.com/CA/San-Francisco/230-7th-St-94103/unit-G8/home/177080354,San Francisco MLS,421609539,N,Y,37.777295,-122.409123
MLS Listing,,Condo/Co-op,566 South Van Ness Ave #17,San Francisco,CA,94110,995000,2,2.0,San Francisco,963,12255,2007,31,1033,701,Active,,,https://www.redfin.com/CA/San-Francisco/566-S-Van-Ness-Ave-94110/unit-17/home/17306703,San Francisco MLS,421609523,N,Y,37.7639953,-122.4176979
MLS Listing,,Condo/Co-op,230 7th St Unit B3,San Francisco,CA,94103,748000,1,1.0,San Francisco,726,,,31,1030,412,Active,,,https://www.redfin.com/CA/San-Francisco/230-7th-St-94103/unit-B3/home/177080353,San Francisco MLS,421609529,N,Y,37.777295,-122.409123
MLS Listing,,Multi-Family (5+ Unit),646 Washington St,San Francisco,CA,94111,4250000,0,,San Francisco,18128,4560,1909,31,234,,Active,,,https://www.redfin.com/CA/San-Francisco/646-Washington-St-94111/home/174699889,San Francisco MLS,421609508,N,Y,37.795618,-122.40437
MLS Listing,,Vacant Land,8 San Lorenzo Way,San Francisco,CA,94127,2100000,0,,San Francisco,,4002,,31,,,Active,,,https://www.redfin.com/CA/San-Francisco/8-San-Lorenzo-Way-94127/home/52055577,San Francisco MLS,421585876,N,Y,37.739708,-122.4643433
MLS Listing,,Condo/Co-op,230 7th St Unit D3,San Francisco,CA,94103,748000,1,1.0,San Francisco,714,,,31,1048,411,Active,,,https://www.redfin.com/CA/San-Francisco/230-7th-St-94103/unit-D3/home/177080352,San Francisco MLS,421609535,N,Y,37.777295,-122.409123
MLS Listing,,Single Family Residential,2256 Cabrillo St,San Francisco,CA,94121,3295000,5,4.5,San Francisco,3506,1881,1917,31,940,,Active,,,https://www.redfin.com/CA/San-Francisco/2256-Cabrillo-St-94121/home/618857,San Francisco MLS,421609452,N,Y,37.774718,-122.4831132
MLS Listing,,Single Family Residential,1189 Palou Ave,San Francisco,CA,94124,975000,6,3.0,San Francisco,1489,2500,1919,31,655,,Active,,,https://www.redfin.com/CA/San-Francisco/1189-Palou-Ave-94124/home/1502917,San Francisco MLS,421609516,N,Y,37.7294325,-122.3834279
MLS Listing,,Condo/Co-op,230 7th St Unit G5,San Francisco,CA,94103,1173000,2,2.0,San Francisco,1048,,,31,1119,495,Active,,,https://www.redfin.com/CA/San-Francisco/230-7th-St-94103/unit-G5/home/177080350,San Francisco MLS,421609553,N,Y,37.777295,-122.409123
MLS Listing,,Condo/Co-op,550 South Van Ness Ave #109,San Francisco,CA,94110,699000,1,1.0,San Francisco,,13130,1992,31,,510,Active,,,https://www.redfin.com/CA/San-Francisco/550-S-Van-Ness-Ave-94110/unit-109/home/708862,San Francisco MLS,421607614,N,Y,37.764336,-122.4179396
MLS Listing,,Condo/Co-op,8200 Oceanview Ter #222,SAN FRANCISCO,CA,94132,820000,2,2.0,SAN FRANCISCO,950,,2002,31,863,697,Active,,,https://www.redfin.com/CA/San-Francisco/8200-Oceanview-Ter-94132/unit-222/home/2035333,MLSListings,ML81869102,N,Y,37.7102104,-122.4670813
MLS Listing,,Multi-Family (2-4 Unit),626 - 628 Cortland Ave,San Francisco,CA,94110,1695000,2,,San Francisco,1900,1467,1926,32,892,,Active,,,https://www.redfin.com/CA/San-Francisco/626-Cortland-Ave-94110/home/114080484,San Francisco MLS,421609378,N,Y,37.7388182,-122.4154352
MLS Listing,,Condo/Co-op,30 - 34A Wayne Pl Unit 32A,San Francisco,CA,94133,699000,2,1.0,San Francisco,712,,1906,32,982,295,Active,,,https://www.redfin.com/CA/San-Francisco/30-Wayne-Pl-94133/unit-32A/home/176583012,San Francisco MLS,421609375,N,Y,37.7967954,-122.4109333
MLS Listing,,Single Family Residential,115 Ocean Ave,San Francisco,CA,94112,998950,3,1.0,San Francisco,1200,2212,1923,32,832,,Active,,,https://www.redfin.com/CA/San-Francisco/115-Ocean-Ave-94112/home/1704686,San Francisco MLS,421609356,N,Y,37.7234151,-122.4392948
MLS Listing,,Condo/Co-op,813 Lyon St #1,San Francisco,CA,94115,1795000,3,3.5,San Francisco,2020,,2021,32,889,410,Active,December-7-2021 11:30 AM,December-7-2021 12:30 PM,https://www.redfin.com/CA/San-Francisco/813-Lyon-St-94115/unit-1/home/176239129,San Francisco MLS,421608197,N,Y,37.7786056,-122.4438265
MLS Listing,,Condo/Co-op,489 Harrison St #301,San Francisco,CA,94105,1688000,3,2.5,San Francisco,1551,56024,2008,32,1088,1307,Active,,,https://www.redfin.com/CA/San-Francisco/489-Harrison-St-94105/unit-301/home/17304903,San Francisco MLS,421605794,N,Y,37.7860724,-122.3926053
MLS Listing,,Single Family Residential,1840 Eddy St,San Francisco,CA,94115,2750000,4,3.5,San Francisco,3605,2151,1900,32,763,,Active,,,https://www.redfin.com/CA/San-Francisco/1840-Eddy-St-94115/home/592970,San Francisco MLS,421608403,N,Y,37.7808286,-122.4387896
MLS Listing,,Condo/Co-op,2 Mint Plz #304,San Francisco,CA,94103,336191,1,1.0,San Francisco,631,7776,1926,32,533,773,Active,,,https://www.redfin.com/CA/San-Francisco/2-Mint-Plz-94103/unit-304/home/17304425,San Francisco MLS,421609196,N,Y,37.783154,-122.4076777
MLS Listing,,Condo/Co-op,75 Sierra St #201,San Francisco,CA,94107,1050000,2,2.0,San Francisco,1150,48750,2006,32,913,729,Active,,,https://www.redfin.com/CA/San-Francisco/75-Sierra-St-94107/unit-201/home/12353665,San Francisco MLS,421608739,N,Y,37.7582254,-122.3958759
MLS Listing,,Condo/Co-op,113 Cleo Rand Ln,San Francisco,CA,94124,760000,2,1.5,San Francisco,1150,111214,,33,661,432,Active,,,https://www.redfin.com/CA/San-Francisco/113-Cleo-Rand-Ln-94124/home/739177,San Francisco MLS,421608021,N,Y,37.7287089,-122.3708796
MLS Listing,,Condo/Co-op,401 Harrison St Unit 20C,SAN FRANCISCO,CA,94105,1998000,2,2.0,SAN FRANCISCO,1334,,2014,33,1498,1418,Active,,,https://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-20C/home/144064211,MLSListings,ML81868961,N,Y,37.7863747,-122.3919931
MLS Listing,,Vacant Land,1235 Sansome St,SAN FRANCISCO,CA,94111,1498000,,,SAN FRANCISCO,,6866,,33,,,Active,,,https://www.redfin.com/CA/San-Francisco/1235-Sansome-St-94111/home/112390042,MLSListings,ML81868930,N,Y,37.8015613,-122.4030781
MLS Listing,,Condo/Co-op,241 San Jose Ave,San Francisco,CA,94110,1199000,4,2.0,Inner Mission,1550,2247,1904,33,774,,Active,,,https://www.redfin.com/CA/San-Francisco/241-San-Jose-Ave-94110/home/177044425,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972998,N,Y,37.7514524,-122.4213491
MLS Listing,,Condo/Co-op,701 Hampshire St #4,San Francisco,CA,94110,589000,1,1.0,San Francisco,,,1961,33,,322,Active,,,https://www.redfin.com/CA/San-Francisco/701-Hampshire-St-94110/unit-4/home/174960159,San Francisco MLS,421608976,N,Y,37.7603979,-122.4078827
MLS Listing,,Condo/Co-op,3620 Market St #6,San Francisco,CA,94131,1350000,2,2.5,San Francisco,1114,9846,1987,34,1212,545,Active,,,https://www.redfin.com/CA/San-Francisco/3620-Market-St-94131/unit-6/home/1873378,San Francisco MLS,421608664,N,Y,37.7556977,-122.4416295
MLS Listing,,Condo/Co-op,451 Donahue St #414,SAN FRANCISCO,CA,94124,690000,1,1.0,SAN FRANCISCO,744,,2015,34,927,629,Active,,,https://www.redfin.com/CA/San-Francisco/451-Donahue-St-94124/unit-414/home/109464540,MLSListings,ML81868768,N,Y,37.7288191,-122.3697461
MLS Listing,,Condo/Co-op,280 Spear St Unit 8F,San Francisco,CA,94105,1650000,2,2.0,San Francisco,1305,47916,,34,1264,1252,Active,,,https://www.redfin.com/CA/San-Francisco/280-Spear-St-94105/unit-8F/home/175563253,San Francisco MLS,421608682,N,Y,37.7904356,-122.3918209
MLS Listing,,Single Family Residential,850 Steiner St,San Francisco,CA,94117,5125000,4,5.0,San Francisco,4125,3023,1899,34,1242,,Active,,,https://www.redfin.com/CA/San-Francisco/850-Steiner-St-94117/home/148090985,San Francisco MLS,421608231,N,Y,37.7772399,-122.4330086
MLS Listing,,Condo/Co-op,181 Fremont Unit 56B,San Francisco,CA,94105,5900000,2,2.5,San Francisco,2226,,2018,35,2650,3051,Active,,,https://www.redfin.com/CA/San-Francisco/181-Fremont-St-94105/unit-56B/home/167299428,San Francisco MLS,421608610,N,Y,37.7898082,-122.3953565
MLS Listing,,Condo/Co-op,950 Tennessee St #125,San Francisco,CA,94107,1689000,2,2.0,San Francisco,1419,,2020,35,1190,764,Active,,,https://www.redfin.com/CA/San-Francisco/950-Tennessee-St-94107/unit-125/home/175051409,San Francisco MLS,421608636,N,Y,37.7596747,-122.3898245
MLS Listing,,Condo/Co-op,965 Folsom St #303,San Francisco,CA,94107,1100000,1,1.0,San Francisco,1199,8332,2000,35,917,700,Active,,,https://www.redfin.com/CA/San-Francisco/965-Folsom-St-94107/unit-303/home/12396796,San Francisco MLS,421606966,N,Y,37.7789664,-122.4044726
MLS Listing,,Condo/Co-op,335 Berry St #505,San Francisco,CA,94158,303285,1,1.0,San Francisco,730,29040,2009,35,415,555,Active,,,https://www.redfin.com/CA/San-Francisco/335-Berry-St-94158/unit-505/home/28939143,San Francisco MLS,421606933,N,Y,37.7730819,-122.3962416
MLS Listing,,Condo/Co-op,219 - 223 Clayton St #221,San Francisco,CA,94117,1495000,2,1.5,San Francisco,1705,2652,1914,35,877,322,Active,,,https://www.redfin.com/CA/San-Francisco/219-Clayton-St-94117/unit-221/home/177014390,San Francisco MLS,421607790,N,Y,37.7731588,-122.4495672
MLS Listing,,Condo/Co-op,8 Buchanan St #902,San Francisco,CA,94102,1275000,2,2.0,San Francisco,884,21140,2014,36,1442,685,Active,,,https://www.redfin.com/CA/San-Francisco/8-Buchanan-St-94102/unit-902/home/110051404,San Francisco MLS,421607301,N,Y,37.7699851,-122.4265079
MLS Listing,,Single Family Residential,268 Summit Way,San Francisco,CA,94132,1495000,3,2.5,San Francisco,2001,2040,2016,36,747,250,Active,,,https://www.redfin.com/CA/San-Francisco/268-Summit-Way-94132/home/110052106,San Francisco MLS,421608489,N,Y,37.7150004,-122.4774009
MLS Listing,,Multi-Family (2-4 Unit),1235 - 1237 45th Ave,San Francisco,CA,94122,1750000,5,3.0,San Francisco,2200,2996,1912,37,795,,Active,,,https://www.redfin.com/CA/San-Francisco/1235-45th-Ave-94122/home/1948959,San Francisco MLS,421608420,N,Y,37.7634907,-122.5053983
MLS Listing,,Condo/Co-op,55 Red Rock Way Unit 104O,San Francisco,CA,94131,580000,0,1.0,San Francisco,592,7396,1972,37,980,516,Active,,,https://www.redfin.com/CA/San-Francisco/55-Red-Rock-Way-94131/unit-104O/home/1880669,San Francisco MLS,421606514,N,Y,37.7459864,-122.4410176
MLS Listing,,Condo/Co-op,631 Ofarrell St #1905,San Francisco,CA,94109,469000,0,1.0,San Francisco,546,18438,1930,37,859,800,Active,,,https://www.redfin.com/CA/San-Francisco/631-O-Farrell-St-94109/unit-1905/home/1450861,San Francisco MLS,421597945,N,Y,37.7852037,-122.4151808
MLS Listing,,Condo/Co-op,"2 Fallon Pl Unit 24,25",San Francisco,CA,94133,1395000,1,1.5,San Francisco,1174,21923,1980,37,1188,1443,Active,,,https://www.redfin.com/CA/San-Francisco/2-Fallon-Pl-94133/unit-24-25/home/177014447,San Francisco MLS,421594577,N,Y,37.797786,-122.4132891
MLS Listing,,Single Family Residential,1641 Green St,San Francisco,CA,94123,6925000,3,3.5,San Francisco,2705,4120,1940,37,2560,,Active,,,https://www.redfin.com/CA/San-Francisco/1641-Green-St-94123/home/2035752,San Francisco MLS,421606016,N,Y,37.7972108,-122.4261755
MLS Listing,,Multi-Family (2-4 Unit),1254 - 1258 Leavenworth St,San Francisco,CA,94109,2500000,10,3.0,San Francisco,4028,2500,1908,37,621,,Active,,,https://www.redfin.com/CA/San-Francisco/1254-Leavenworth-St-94109/home/28945811,San Francisco MLS,421600036,N,Y,37.7928295,-122.4159544
MLS Listing,,Condo/Co-op,5102 Diamond Heights Blvd Unit B,San Francisco,CA,94131,1248000,3,2.0,San Francisco,,,,37,,1030,Active,,,https://www.redfin.com/CA/San-Francisco/5102-Diamond-Heights-Blvd-94131/unit-B/home/1729023,San Francisco MLS,421608195,N,Y,37.7467768,-122.4420467
MLS Listing,,Condo/Co-op,456 Vallejo St Unit A,San Francisco,CA,94133,2495000,3,2.0,San Francisco,2045,2748,1910,37,1220,,Active,,,https://www.redfin.com/CA/San-Francisco/456-Vallejo-St-94133/unit-A/home/176998818,San Francisco MLS,421607502,N,Y,37.7993368,-122.4050027
MLS Listing,,Condo/Co-op,451 Donahue St #510,San Francisco,CA,94124,730000,2,2.0,San Francisco,1024,,2016,37,713,603,Active,,,https://www.redfin.com/CA/San-Francisco/451-Donahue-St-94124/unit-510/home/109464697,San Francisco MLS,421608169,N,Y,37.7288191,-122.3697461
MLS Listing,,Condo/Co-op,88 Townsend St #327,San Francisco,CA,94107,963000,1,1.0,San Francisco,791,37623,2004,37,1217,614,Active,,,https://www.redfin.com/CA/San-Francisco/88-Townsend-St-94102/unit-327/home/12401561,San Francisco MLS,421606099,N,Y,37.7811985,-122.3906654
MLS Listing,,Condo/Co-op,2 Mint Plz #206,San Francisco,CA,94103,629000,1,1.0,San Francisco,674,7776,1926,37,933,804,Active,,,https://www.redfin.com/CA/San-Francisco/2-Mint-Plz-94103/unit-206/home/17306449,San Francisco MLS,421608137,N,Y,37.783154,-122.4076777
MLS Listing,,Condo/Co-op,1545 Pine St #701,San Francisco,CA,94109,1800000,2,2.0,San Francisco,1071,14553,2017,37,1681,984,Active,,,https://www.redfin.com/CA/San-Francisco/1545-Pine-St-94109/unit-701/home/145945316,San Francisco MLS,421608069,N,Y,37.7893082,-122.4211982
MLS Listing,,Condo/Co-op,1079 Lombard St #301,San Francisco,CA,94109,4595000,3,4.5,San Francisco,3135,3295,1907,37,1466,448,Active,December-9-2021 06:00 PM,December-9-2021 07:30 PM,https://www.redfin.com/CA/San-Francisco/1079-Lombard-St-94109/unit-301/home/176994281,San Francisco MLS,421606668,N,Y,37.801964,-122.4192414
MLS Listing,,Multi-Family (2-4 Unit),51 - 55 Webster St,San Francisco,CA,94117,1995000,6,3.5,San Francisco,3069,1947,1900,37,650,,Active,,,https://www.redfin.com/CA/San-Francisco/51-Webster-St-94117/home/582087,San Francisco MLS,421607822,N,Y,37.7705448,-122.4287093
MLS Listing,,Condo/Co-op,34 Varennes St,San Francisco,CA,94133,749000,2,1.0,San Francisco,600,,1906,38,1248,288,Active,,,https://www.redfin.com/CA/San-Francisco/34-Varennes-St-94133/home/40053809,San Francisco MLS,421605440,N,Y,37.800299,-122.4066221
MLS Listing,,Condo/Co-op,950 Tennessee St #217,San Francisco,CA,94107,595000,0,1.0,San Francisco,432,,2020,38,1377,435,Active,,,https://www.redfin.com/CA/San-Francisco/950-Tennessee-St-94107/unit-217/home/172713167,San Francisco MLS,421608056,N,Y,37.7596747,-122.3898245
MLS Listing,,Condo/Co-op,1100 Leavenworth St #1298,San Francisco,CA,94109,650000,1,1.0,San Francisco,468,2406,1910,38,1389,524,Active,,,https://www.redfin.com/CA/San-Francisco/1100-Leavenworth-St-94109/unit-1298/home/176992862,San Francisco MLS,421607912,N,Y,37.7914729,-122.4156931
MLS Listing,,Condo/Co-op,3410 California St,San Francisco,CA,94118,1485000,2,2.0,San Francisco,1197,3318,2006,38,1241,450,Active,,,https://www.redfin.com/CA/San-Francisco/3410-California-St-94118/home/12402275,San Francisco MLS,421606301,N,Y,37.7870565,-122.4507192
MLS Listing,,Vacant Land,1697 - 1699 Quint St,San Francisco,CA,94124,399000,0,,San Francisco,,8802,,38,,,Active,,,https://www.redfin.com/CA/San-Francisco/1697-Quint-St-94124/home/102821258,San Francisco MLS,421607765,N,Y,37.7353354,-122.3982046
MLS Listing,,Single Family Residential,88 Stanford Heights Ave,San Francisco,CA,94127,1099000,3,2.5,San Francisco,1612,2548,,38,682,,Active,,,https://www.redfin.com/CA/San-Francisco/88-Stanford-Heights-Ave-94127/home/690404,San Francisco MLS,421607816,N,Y,37.7356873,-122.4498442
MLS Listing,,Condo/Co-op,8300 Oceanview Ter #203,San Francisco,CA,94132,589000,1,1.0,San Francisco,688,325629,2002,38,856,616,Active,,,https://www.redfin.com/CA/San-Francisco/8300-Oceanview-Ter-94132/unit-203/home/1321500,San Francisco MLS,421605106,N,Y,37.7100162,-122.4683516
MLS Listing,,Condo/Co-op,1050 Noriega St,San Francisco,CA,94122,1888000,4,3.5,San Francisco,2365,3250,1916,38,798,,Active,,,https://www.redfin.com/CA/San-Francisco/1050-Noriega-St-94122/unit-18TH/home/641438,San Francisco MLS,421605360,N,Y,37.7545183,-122.4752724
MLS Listing,,Condo/Co-op,1 Crescent Way #1213,San Francisco,CA,94134,565838,2,2.0,San Francisco,1063,42105,2001,38,532,607,Active,,,https://www.redfin.com/CA/San-Francisco/1-Crescent-Way-94134/unit-1213/home/919650,San Francisco MLS,421603710,N,Y,37.7107619,-122.3903114
MLS Listing,,Condo/Co-op,3374 22nd St,San Francisco,CA,94110,1079000,2,1.5,San Francisco,1230,2850,1907,38,877,,Active,,,https://www.redfin.com/CA/San-Francisco/3374-22nd-St-94110/home/176988404,San Francisco MLS,421606360,N,Y,37.7553128,-122.4225653
MLS Listing,,Single Family Residential,191 San Felipe Ave,San Francisco,CA,94127,2999000,3,3.0,San Francisco,3085,3933,1926,38,972,,Active,,,https://www.redfin.com/CA/San-Francisco/191-San-Felipe-Ave-94127/home/1212225,San Francisco MLS,421603881,N,Y,37.7323193,-122.4634647
MLS Listing,,Single Family Residential,1418 Plymouth Ave,San Francisco,CA,94112,1095000,2,1.0,San Francisco,1280,3267,1927,38,855,12,Active,,,https://www.redfin.com/CA/San-Francisco/1418-Plymouth-Ave-94112/home/696827,San Francisco MLS,421607694,N,Y,37.7278969,-122.4562999
MLS Listing,,Single Family Residential,809 Scott St,San Francisco,CA,94117,5795000,4,3.5,San Francisco,4274,3998,1900,38,1356,,Active,,,https://www.redfin.com/CA/San-Francisco/809-Scott-St-94117/home/595785,San Francisco MLS,421586903,N,Y,37.7773835,-122.436793
