SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,243 Granada Ave,San Francisco,CA,94112,1088000,3,1.0,San Francisco,1114,2813,1910,18,977,,Active,,,https://www.redfin.com/CA/San-Francisco/243-Granada-Ave-94112/home/813744,San Francisco MLS,421612570,N,Y,37.7228543,-122.4573171
MLS Listing,,Condo/Co-op,1001 17th St #101,SAN FRANCISCO,CA,94107,958000,1,1.0,SAN FRANCISCO,853,,2016,18,1123,516,Active,,,https://www.redfin.com/CA/San-Francisco/1001-17th-St-94107/unit-101/home/109684849,MLSListings,ML81870464,N,Y,37.7650727,-122.3940731
MLS Listing,,Single Family Residential,1439 Silver Ave,San Francisco,CA,94134,895000,2,1.0,San Francisco,875,1875,1895,18,1023,,Active,,,https://www.redfin.com/CA/San-Francisco/1439-Silver-Ave-94134/home/1917971,San Francisco MLS,421612504,N,Y,37.7318578,-122.4081643
MLS Listing,,Single Family Residential,375 URBANO Dr,SAN FRANCISCO,CA,94127,2885000,5,3.0,SAN FRANCISCO,2955,5144,1926,18,976,,Active,,,https://www.redfin.com/CA/San-Francisco/375-Urbano-Dr-94127/home/1615024,MLSListings,ML81870420,N,Y,37.7250236,-122.4697447
MLS Listing,,Condo/Co-op,55 Oak St #412,San Francisco,CA,94102,999000,1,1.0,San Francisco,801,10227,2021,19,1247,822,Active,,,https://www.redfin.com/CA/San-Francisco/55-Oak-St-94102/unit-412/home/177211879,San Francisco MLS,421612446,N,Y,37.7750848,-122.4200908
MLS Listing,,Condo/Co-op,55 Oak St #303,San Francisco,CA,94102,870000,1,1.0,San Francisco,680,10227,2021,19,1279,773,Active,,,https://www.redfin.com/CA/San-Francisco/55-Oak-St-94102/unit-303/home/177211800,San Francisco MLS,421612443,N,Y,37.7750848,-122.4200908
MLS Listing,,Condo/Co-op,300 3rd St #314,San Francisco,CA,94107,949000,1,1.0,San Francisco,877,48941,1990,19,1082,738,Active,,,https://www.redfin.com/CA/San-Francisco/300-3rd-St-94107/unit-314/home/1024755,San Francisco MLS,421612365,N,Y,37.783575,-122.3989455
MLS Listing,,Multi-Family (2-4 Unit),3723 - 3725 Mission St,San Francisco,CA,94110,1450000,3,,San Francisco,2500,1193,1906,19,580,,Active,,,https://www.redfin.com/CA/San-Francisco/3723-Mission-St-94110/home/22045750,San Francisco MLS,421612367,N,Y,37.7368941,-122.4239966
MLS Listing,,Single Family Residential,625 Duncan St,San Francisco,CA,94131,12000000,5,5.5,San Francisco,5933,5698,2007,19,2023,,Active,,,https://www.redfin.com/CA/San-Francisco/625-Duncan-St-94131/home/1971985,San Francisco MLS,421612309,N,Y,37.745416,-122.434111
MLS Listing,,Single Family Residential,10 Sea Cliff Ave,San Francisco,CA,94121,5700000,4,4.0,San Francisco,4463,3497,,19,1277,,Active,,,https://www.redfin.com/CA/San-Francisco/10-Sea-Cliff-Ave-94121/home/2023751,San Francisco MLS,421610367,N,Y,37.789143,-122.484868
